median_x,median_y,median_z,condition,Operation_Number_encoded,Machine_Number_encoded
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1018.0,1,0.9736842105263158,0.9344894026974951
-9.0,27.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,21.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,21.0,-1018.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-9.0,25.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-9.0,25.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-9.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,27.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9736842105263158,0.9344894026974951
9.0,31.0,-1038.0,1,0.9736842105263158,0.9344894026974951
9.0,33.0,-1038.0,1,0.9736842105263158,0.9344894026974951
9.0,31.0,-1038.0,1,0.9736842105263158,0.9344894026974951
9.0,31.0,-1040.0,1,0.9736842105263158,0.9344894026974951
9.0,31.0,-1040.0,1,0.9736842105263158,0.9344894026974951
-5.0,33.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-7.0,33.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-7.0,33.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-7.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,27.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,29.0,-1013.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,27.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,31.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-9.0,29.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,27.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-13.0,27.0,-1015.0,1,0.9736842105263158,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9736842105263158,0.9344894026974951
13.0,13.0,-1020.0,0,0.9736842105263158,0.9344894026974951
-7.0,19.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-7.0,19.0,-1018.0,1,0.9714285714285714,0.9344894026974951
-5.0,25.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-5.0,7.0,-1015.0,1,0.9714285714285714,0.9344894026974951
-5.0,9.0,-1015.0,1,0.9714285714285714,0.9344894026974951
-5.0,9.0,-1015.0,1,0.9714285714285714,0.9344894026974951
15.0,11.0,-1028.0,1,0.9714285714285714,0.9344894026974951
-5.0,15.0,-1015.0,1,0.9714285714285714,0.9344894026974951
-5.0,13.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-5.0,15.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-5.0,19.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-5.0,11.0,-1016.0,1,0.9714285714285714,0.9344894026974951
-5.0,23.0,-1015.0,1,0.9714285714285714,0.9344894026974951
-5.0,21.0,-1015.0,1,0.9714285714285714,0.9344894026974951
7.0,21.0,-1038.0,1,0.9714285714285714,0.9344894026974951
7.0,19.0,-1038.0,1,0.9714285714285714,0.9344894026974951
5.0,19.0,-1040.0,1,0.9714285714285714,0.9344894026974951
1.0,25.0,-1024.0,1,0.9714285714285714,0.9344894026974951
0.0,21.0,-1030.0,1,0.9714285714285714,0.9344894026974951
0.0,31.0,-1022.0,1,0.9714285714285714,0.9344894026974951
0.0,29.0,-1028.0,1,0.9714285714285714,0.9344894026974951
-11.0,40.0,-979.0,1,0.9714285714285714,0.9344894026974951
-11.0,37.0,-979.0,1,0.9714285714285714,0.9344894026974951
-9.0,33.0,-976.0,1,0.9714285714285714,0.9344894026974951
-11.0,40.0,-970.0,1,0.9714285714285714,0.9344894026974951
-11.0,27.0,-991.0,1,0.9714285714285714,0.9344894026974951
-11.0,23.0,-989.0,1,0.9714285714285714,0.9344894026974951
3.0,19.0,-1042.0,0,0.9714285714285714,0.9344894026974951
-7.0,25.0,-1018.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1018.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1015.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1015.0,1,0.9375,0.9344894026974951
-9.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,23.0,-1018.0,1,0.9375,0.9344894026974951
-9.0,23.0,-1018.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,27.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,27.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,27.0,-1016.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1016.0,1,0.9375,0.9344894026974951
-9.0,27.0,-1009.0,1,0.9375,0.9344894026974951
-7.0,25.0,-1007.0,1,0.9375,0.9344894026974951
9.0,33.0,-1042.0,1,0.9375,0.9344894026974951
7.0,31.0,-1040.0,1,0.9375,0.9344894026974951
7.0,29.0,-1042.0,1,0.9375,0.9344894026974951
7.0,31.0,-1040.0,1,0.9375,0.9344894026974951
7.0,31.0,-1042.0,1,0.9375,0.9344894026974951
-9.0,25.0,-999.0,1,0.9375,0.9344894026974951
-9.0,23.0,-1001.0,1,0.9375,0.9344894026974951
-11.0,25.0,-999.0,1,0.9375,0.9344894026974951
-11.0,27.0,-1005.0,1,0.9375,0.9344894026974951
-9.0,29.0,-1005.0,1,0.9375,0.9344894026974951
-9.0,29.0,-1003.0,1,0.9375,0.9344894026974951
-7.0,29.0,-1001.0,1,0.9375,0.9344894026974951
-9.0,29.0,-1003.0,1,0.9375,0.9344894026974951
-9.0,21.0,-999.0,1,0.9375,0.9344894026974951
-9.0,21.0,-999.0,1,0.9375,0.9344894026974951
-11.0,27.0,-999.0,1,0.9375,0.9344894026974951
-11.0,25.0,-1001.0,1,0.9375,0.9344894026974951
3.0,35.0,-1036.0,0,0.9375,0.9344894026974951
3.0,29.0,-1061.0,0,0.9375,0.9344894026974951
-11.0,23.0,-1016.0,1,0.95,0.9344894026974951
-11.0,23.0,-1018.0,1,0.95,0.9344894026974951
-13.0,27.0,-1018.0,1,0.95,0.9344894026974951
-11.0,29.0,-1018.0,1,0.95,0.9344894026974951
-13.0,27.0,-1018.0,1,0.95,0.9344894026974951
21.0,15.0,-1020.0,1,0.95,0.9344894026974951
-11.0,25.0,-1016.0,1,0.95,0.9344894026974951
-11.0,25.0,-1016.0,1,0.95,0.9344894026974951
-11.0,23.0,-1018.0,1,0.95,0.9344894026974951
-11.0,23.0,-1016.0,1,0.95,0.9344894026974951
-11.0,23.0,-1016.0,1,0.95,0.9344894026974951
-11.0,29.0,-1018.0,1,0.95,0.9344894026974951
-9.0,31.0,-1024.0,1,0.95,0.9344894026974951
-11.0,27.0,-1018.0,1,0.95,0.9344894026974951
-11.0,29.0,-1020.0,1,0.95,0.9344894026974951
-11.0,27.0,-1018.0,1,0.95,0.9344894026974951
-11.0,25.0,-1015.0,1,0.95,0.9344894026974951
-11.0,23.0,-1015.0,1,0.95,0.9344894026974951
9.0,33.0,-1038.0,1,0.95,0.9344894026974951
9.0,33.0,-1038.0,1,0.95,0.9344894026974951
11.0,33.0,-1038.0,1,0.95,0.9344894026974951
-9.0,31.0,-1013.0,1,0.95,0.9344894026974951
-9.0,31.0,-1013.0,1,0.95,0.9344894026974951
-9.0,29.0,-1013.0,1,0.95,0.9344894026974951
-9.0,29.0,-1013.0,1,0.95,0.9344894026974951
-11.0,27.0,-1013.0,1,0.95,0.9344894026974951
-11.0,27.0,-1013.0,1,0.95,0.9344894026974951
-13.0,25.0,-1015.0,1,0.95,0.9344894026974951
-11.0,25.0,-1013.0,1,0.95,0.9344894026974951
-11.0,27.0,-1013.0,1,0.95,0.9344894026974951
-11.0,29.0,-1013.0,1,0.95,0.9344894026974951
-11.0,25.0,-1013.0,1,0.95,0.9344894026974951
-13.0,21.0,-1013.0,1,0.95,0.9344894026974951
-13.0,21.0,-1013.0,1,0.95,0.9344894026974951
3.0,37.0,-1038.0,0,0.95,0.9344894026974951
5.0,27.0,-1034.0,0,0.95,0.9344894026974951
9.0,42.0,-1036.0,0,0.95,0.9344894026974951
-3.0,35.0,-1020.0,0,0.95,0.9344894026974951
-5.0,13.0,-1015.0,1,0.9545454545454546,0.9344894026974951
-7.0,11.0,-1016.0,1,0.9545454545454546,0.9344894026974951
-7.0,15.0,-1016.0,1,0.9545454545454546,0.9344894026974951
-7.0,21.0,-1016.0,1,0.9545454545454546,0.9344894026974951
-7.0,29.0,-1003.0,1,0.9545454545454546,0.9344894026974951
7.0,29.0,-1038.0,1,0.9545454545454546,0.9344894026974951
7.0,27.0,-1036.0,1,0.9545454545454546,0.9344894026974951
7.0,29.0,-1038.0,1,0.9545454545454546,0.9344894026974951
0.0,31.0,-1020.0,1,0.9545454545454546,0.9344894026974951
0.0,29.0,-1020.0,1,0.9545454545454546,0.9344894026974951
0.0,35.0,-1018.0,1,0.9545454545454546,0.9344894026974951
0.0,37.0,-1018.0,1,0.9545454545454546,0.9344894026974951
-9.0,29.0,-985.0,1,0.9545454545454546,0.9344894026974951
-9.0,35.0,-989.0,1,0.9545454545454546,0.9344894026974951
-11.0,23.0,-985.0,1,0.9545454545454546,0.9344894026974951
-11.0,23.0,-989.0,1,0.9545454545454546,0.9344894026974951
-9.0,35.0,-997.0,1,0.9545454545454546,0.9344894026974951
-9.0,33.0,-995.0,1,0.9545454545454546,0.9344894026974951
-9.0,29.0,-991.0,1,0.9545454545454546,0.9344894026974951
3.0,31.0,-1038.0,0,0.9545454545454546,0.9344894026974951
-5.0,40.0,-983.0,0,0.9545454545454546,0.9344894026974951
-3.0,40.0,-1001.0,0,0.9545454545454546,0.9344894026974951
-1.0,5.0,-1046.0,0,0.9545454545454546,0.9344894026974951
-11.0,27.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-9.0,27.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1016.0,1,0.9367088607594937,0.9344894026974951
-11.0,23.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-11.0,23.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-11.0,23.0,-1015.0,1,0.9367088607594937,0.9344894026974951
11.0,33.0,-1038.0,1,0.9367088607594937,0.9344894026974951
11.0,31.0,-1038.0,1,0.9367088607594937,0.9344894026974951
11.0,31.0,-1038.0,1,0.9367088607594937,0.9344894026974951
11.0,31.0,-1038.0,1,0.9367088607594937,0.9344894026974951
11.0,33.0,-1038.0,1,0.9367088607594937,0.9344894026974951
-9.0,31.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-9.0,31.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-7.0,31.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-9.0,29.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,21.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-11.0,27.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-11.0,25.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,27.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,27.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,29.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,27.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,27.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-11.0,21.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-13.0,21.0,-1015.0,1,0.9367088607594937,0.9344894026974951
-11.0,23.0,-1013.0,1,0.9367088607594937,0.9344894026974951
-13.0,23.0,-1015.0,1,0.9367088607594937,0.9344894026974951
9.0,46.0,-1044.0,0,0.9367088607594937,0.9344894026974951
-3.0,40.0,-1030.0,0,0.9367088607594937,0.9344894026974951
-7.0,54.0,-1048.0,0,0.9367088607594937,0.9344894026974951
17.0,44.0,-1032.0,0,0.9367088607594937,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
19.0,15.0,-1024.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,25.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,29.0,-999.0,1,0.9411764705882353,0.9344894026974951
9.0,31.0,-1038.0,1,0.9411764705882353,0.9344894026974951
9.0,27.0,-1038.0,1,0.9411764705882353,0.9344894026974951
9.0,29.0,-1038.0,1,0.9411764705882353,0.9344894026974951
-5.0,29.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-5.0,29.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-5.0,31.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-5.0,33.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-11.0,29.0,-995.0,1,0.9411764705882353,0.9344894026974951
-11.0,33.0,-985.0,1,0.9411764705882353,0.9344894026974951
-13.0,23.0,-995.0,1,0.9411764705882353,0.9344894026974951
-11.0,25.0,-999.0,1,0.9411764705882353,0.9344894026974951
-11.0,29.0,-1001.0,1,0.9411764705882353,0.9344894026974951
-11.0,29.0,-997.0,1,0.9411764705882353,0.9344894026974951
-11.0,29.0,-989.0,1,0.9411764705882353,0.9344894026974951
-13.0,23.0,-997.0,1,0.9411764705882353,0.9344894026974951
-13.0,21.0,-999.0,1,0.9411764705882353,0.9344894026974951
5.0,21.0,-1044.0,0,0.9411764705882353,0.9344894026974951
3.0,25.0,-1046.0,0,0.9411764705882353,0.9344894026974951
5.0,23.0,-1046.0,0,0.9411764705882353,0.9344894026974951
-7.0,23.0,-1042.0,1,0.9912280701754386,0.9344894026974951
-9.0,25.0,-1034.0,1,0.9912280701754386,0.9344894026974951
-9.0,29.0,-1024.0,1,0.9912280701754386,0.9344894026974951
-9.0,29.0,-1030.0,1,0.9912280701754386,0.9344894026974951
-9.0,29.0,-1032.0,1,0.9912280701754386,0.9344894026974951
15.0,17.0,-1026.0,1,0.9912280701754386,0.9344894026974951
15.0,17.0,-1024.0,1,0.9912280701754386,0.9344894026974951
-9.0,29.0,-1020.0,1,0.9912280701754386,0.9344894026974951
-9.0,27.0,-1022.0,1,0.9912280701754386,0.9344894026974951
-9.0,25.0,-1034.0,1,0.9912280701754386,0.9344894026974951
-9.0,23.0,-1024.0,1,0.9912280701754386,0.9344894026974951
-9.0,23.0,-1036.0,1,0.9912280701754386,0.9344894026974951
-7.0,33.0,-1030.0,1,0.9912280701754386,0.9344894026974951
-5.0,31.0,-1038.0,1,0.9912280701754386,0.9344894026974951
-7.0,27.0,-1040.0,1,0.9912280701754386,0.9344894026974951
-7.0,29.0,-1030.0,1,0.9912280701754386,0.9344894026974951
-7.0,29.0,-1030.0,1,0.9912280701754386,0.9344894026974951
-9.0,11.0,-991.0,1,0.9912280701754386,0.9344894026974951
-7.0,7.0,-1003.0,1,0.9912280701754386,0.9344894026974951
7.0,35.0,-1052.0,1,0.9912280701754386,0.9344894026974951
9.0,39.0,-1048.0,1,0.9912280701754386,0.9344894026974951
7.0,35.0,-1052.0,1,0.9912280701754386,0.9344894026974951
-1.0,39.0,-1013.0,1,0.9912280701754386,0.9344894026974951
-3.0,37.0,-1013.0,1,0.9912280701754386,0.9344894026974951
-1.0,33.0,-1013.0,1,0.9912280701754386,0.9344894026974951
-1.0,35.0,-1013.0,1,0.9912280701754386,0.9344894026974951
-9.0,37.0,-1003.0,1,0.9912280701754386,0.9344894026974951
-9.0,33.0,-1005.0,1,0.9912280701754386,0.9344894026974951
-11.0,35.0,-1005.0,1,0.9912280701754386,0.9344894026974951
-11.0,31.0,-1007.0,1,0.9912280701754386,0.9344894026974951
-9.0,27.0,-1007.0,1,0.9912280701754386,0.9344894026974951
-9.0,27.0,-1005.0,1,0.9912280701754386,0.9344894026974951
-9.0,29.0,-1003.0,1,0.9912280701754386,0.9344894026974951
-11.0,42.0,-985.0,1,0.9912280701754386,0.9344894026974951
-11.0,39.0,-985.0,1,0.9912280701754386,0.9344894026974951
1.0,33.0,-1057.0,0,0.9912280701754386,0.9344894026974951
-9.0,25.0,-1020.0,1,0.9411764705882353,0.9344894026974951
-9.0,27.0,-1018.0,1,0.9411764705882353,0.9344894026974951
-9.0,25.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,27.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,27.0,-1018.0,1,0.9411764705882353,0.9344894026974951
-9.0,29.0,-1016.0,1,0.9411764705882353,0.9344894026974951
17.0,15.0,-1018.0,1,0.9411764705882353,0.9344894026974951
-9.0,23.0,-1022.0,1,0.9411764705882353,0.9344894026974951
-9.0,29.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-7.0,27.0,-1020.0,1,0.9411764705882353,0.9344894026974951
-9.0,21.0,-1016.0,1,0.9411764705882353,0.9344894026974951
-9.0,29.0,-1018.0,1,0.9411764705882353,0.9344894026974951
-9.0,27.0,-1020.0,1,0.9411764705882353,0.9344894026974951
-9.0,27.0,-1018.0,1,0.9411764705882353,0.9344894026974951
9.0,33.0,-1038.0,1,0.9411764705882353,0.9344894026974951
9.0,33.0,-1038.0,1,0.9411764705882353,0.9344894026974951
7.0,33.0,-1040.0,1,0.9411764705882353,0.9344894026974951
-5.0,35.0,-1013.0,1,0.9411764705882353,0.9344894026974951
-5.0,35.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-5.0,33.0,-1013.0,1,0.9411764705882353,0.9344894026974951
-5.0,31.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-9.0,25.0,-1005.0,1,0.9411764705882353,0.9344894026974951
-11.0,25.0,-1009.0,1,0.9411764705882353,0.9344894026974951
-11.0,21.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-11.0,27.0,-1011.0,1,0.9411764705882353,0.9344894026974951
-11.0,29.0,-1009.0,1,0.9411764705882353,0.9344894026974951
-11.0,27.0,-1009.0,1,0.9411764705882353,0.9344894026974951
-9.0,31.0,-1007.0,1,0.9411764705882353,0.9344894026974951
-11.0,23.0,-1015.0,1,0.9411764705882353,0.9344894026974951
-13.0,46.0,-1034.0,0,0.9411764705882353,0.9344894026974951
3.0,21.0,-1081.0,0,0.9411764705882353,0.9344894026974951
3.0,21.0,-1083.0,0,0.9411764705882353,0.9344894026974951
3.0,19.0,-1085.0,0,0.9411764705882353,0.9344894026974951
-7.0,25.0,-1016.0,1,0.918918918918919,0.9344894026974951
-9.0,21.0,-1018.0,1,0.918918918918919,0.9344894026974951
-5.0,21.0,-1018.0,1,0.918918918918919,0.9344894026974951
-9.0,21.0,-1018.0,1,0.918918918918919,0.9344894026974951
-9.0,29.0,-1005.0,1,0.918918918918919,0.9344894026974951
7.0,29.0,-1040.0,1,0.918918918918919,0.9344894026974951
7.0,25.0,-1040.0,1,0.918918918918919,0.9344894026974951
7.0,27.0,-1040.0,1,0.918918918918919,0.9344894026974951
-3.0,31.0,-1022.0,1,0.918918918918919,0.9344894026974951
-3.0,31.0,-1020.0,1,0.918918918918919,0.9344894026974951
-5.0,33.0,-1016.0,1,0.918918918918919,0.9344894026974951
-3.0,33.0,-1020.0,1,0.918918918918919,0.9344894026974951
-11.0,27.0,-991.0,1,0.918918918918919,0.9344894026974951
-11.0,19.0,-999.0,1,0.918918918918919,0.9344894026974951
-11.0,27.0,-993.0,1,0.918918918918919,0.9344894026974951
-11.0,21.0,-999.0,1,0.918918918918919,0.9344894026974951
-11.0,19.0,-997.0,1,0.918918918918919,0.9344894026974951
9.0,27.0,-1063.0,0,0.918918918918919,0.9344894026974951
9.0,27.0,-1067.0,0,0.918918918918919,0.9344894026974951
7.0,23.0,-1061.0,0,0.918918918918919,0.9344894026974951
1.0,40.0,-1018.0,0,0.918918918918919,0.9344894026974951
-9.0,25.0,-1022.0,1,0.959349593495935,0.9344894026974951
